,Class,ICD9,ICD10
76,Stroke Narrow,,"""I63.22"""
77,Stroke Narrow,,"""I63.23"""
78,Stroke Narrow,,"""I63.231"""
79,Stroke Narrow,,"""I63.232"""
80,Stroke Narrow,,"""I63.233"""
81,Stroke Narrow,,"""I63.239"""
82,Stroke Narrow,,"""I63.29"""
83,Stroke Narrow,,"""I63.3"""
84,Stroke Narrow,,"""I63.30"""
85,Stroke Narrow,,"""I63.31"""
86,Stroke Narrow,,"""I63.311"""
87,Stroke Narrow,,"""I63.312"""
88,Stroke Narrow,,"""I63.313"""
89,Stroke Narrow,,"""I63.319"""
90,Stroke Narrow,,"""I63.32"""
91,Stroke Narrow,,"""I63.321"""
92,Stroke Narrow,,"""I63.322"""
93,Stroke Narrow,,"""I63.323"""
94,Stroke Narrow,,"""I63.329"""
95,Stroke Narrow,,"""I63.33"""
96,Stroke Narrow,,"""I63.331"""
97,Stroke Narrow,,"""I63.332"""
98,Stroke Narrow,,"""I63.333"
99,Stroke Narrow,,"""I63.339"""
100,Stroke Narrow,,"""I63.34"""
101,Stroke Narrow,,"""I63.341"""
102,Stroke Narrow,,"""I63.342"""
103,Stroke Narrow,,"""I63.343"""
104,Stroke Narrow,,"""I63.349"""
105,Stroke Narrow,,"""I63.39"""
106,Stroke Narrow,,"""I63.4"""
107,Stroke Narrow,,"""I63.40"""
108,Stroke Narrow,,"""I63.41"""
109,Stroke Narrow,,"""I63.411"""
110,Stroke Narrow,,"""I63.412"""
111,Stroke Narrow,,"""I63.413"""
112,Stroke Narrow,,"""I63.419"""
113,Stroke Narrow,,"""I63.42"""
114,Stroke Narrow,,"""I63.421"""
115,Stroke Narrow,,"""I63.422"""
116,Stroke Narrow,,"""I63.423"""
117,Stroke Narrow,,"""I63.429"""
118,Stroke Narrow,,"""I63.43"""
119,Stroke Narrow,,"""I63.431"""
120,Stroke Narrow,,"""I63.432"""
121,Stroke Narrow,,"""I63.433"""
122,Stroke Narrow,,"""I63.439"""
123,Stroke Narrow,,"""I63.44"""
124,Stroke Narrow,,"""I63.441"""
125,Stroke Narrow,,"""I63.442"""
126,Stroke Narrow,,"""I63.443"""
127,Stroke Narrow,,"""I63.449"""
128,Stroke Narrow,,"""I63.49"""
129,Stroke Narrow,,"""I63.5"""
130,Stroke Narrow,,"""I63.50"""
131,Stroke Narrow,,"""I63.51"""
132,Stroke Narrow,,"""I63.511"""
133,Stroke Narrow,,"""I63.512"""
134,Stroke Narrow,,"""I63.513"""
135,Stroke Narrow,,"""I63.519"""
136,Stroke Narrow,,"""I63.52"""
137,Stroke Narrow,,"""I63.521"""
138,Stroke Narrow,,"""I63.522"""
139,Stroke Narrow,,"""I63.523"""
140,Stroke Narrow,,"""I63.529"""
141,Stroke Narrow,,"""I63.53"""
142,Stroke Narrow,,"""I63.531"""
143,Stroke Narrow,,"""I63.532"""
144,Stroke Narrow,,"""I63.533"""
145,Stroke Narrow,,"""I63.539"""
146,Stroke Narrow,,"""I63.54"""
147,Stroke Narrow,,"""I63.541"""
148,Stroke Narrow,,"""I63.542"""
149,Stroke Narrow,,"""I63.543"""
150,Stroke Narrow,,"""I63.549"""
151,Stroke Narrow,,"""I63.59"""
152,Stroke Narrow,,"""I63.6"""
153,Stroke Narrow,,"""I63.8"""
154,Stroke Narrow,,"""I63.81"""
155,Stroke Narrow,,"""I63.89"""
156,Stroke Narrow,,"""I63.9"""
157,Stroke Narrow,,"""I67.4"""
158,Stroke Narrow,,"""I67.81"""
159,Stroke Narrow,,"""I67.82"""
160,Stroke Narrow,,"""I67.89"""
161,Stroke Narrow,,"""I67.9"""
162,Stroke Narrow,,"""I68.8"""
163,Stroke Narrow,,"""G45"""
164,Stroke Narrow,,"""G45.1"""
165,Stroke Narrow,,"""G45.2"""
166,Stroke Narrow,,"""G45.3"""
167,Stroke Narrow,,"""G45.8"""
168,Stroke Narrow,,"""G46.3"""
169,Stroke Narrow,,"""G46.4"""
